timestamp,pos1_x,pos1_y,pos1_z,pos2_x,pos2_y,pos2_z,distance
148906,0.735046923160553,0.00722877262160182,0.001014011213555932,-0.07576331496238708,-0.2306891530752182,0.7196956276893616,1.1092887124067987
148915,0.734666109085083,0.006536524277180433,0.00042757170740514994,-0.07627257704734802,-0.229745551943779,0.7195924520492554,1.1093461575750774
148927,0.7343222498893738,0.006584324408322573,-9.512241376796737e-05,-0.07683031260967255,-0.22872376441955566,0.719485878944397,1.1095653175150246
148935,0.7345986366271973,0.006396248936653137,0.0003715546918101609,-0.07704640924930573,-0.22938479483127594,0.71828293800354,1.1089441534111293
148948,0.7346006631851196,0.006338644307106733,0.00045907573075965047,-0.07766713201999664,-0.2283637672662735,0.7181325554847717,1.1090173202741127
148955,0.7346801161766052,0.006550278514623642,0.000271669210633263,-0.07833294570446014,-0.22726093232631683,0.7179786562919617,1.109396791238144
148965,0.7346317768096924,0.006405070889741182,0.0004040807543788105,-0.07280034571886063,-0.23317937552928925,0.7206087112426758,1.1081705867029958
148976,0.7342761754989624,0.006569059565663338,0.00011686271318467334,-0.07337722927331924,-0.23342539370059967,0.7201443910598755,1.1083054639474967
148985,0.7346150279045105,0.006441166158765554,0.0003607466060202569,-0.07222381234169006,-0.23475085198879242,0.7198885679244995,1.1076474120401507
148997,0.7350771427154541,0.006073623429983854,0.0002426911669317633,-0.07283202558755875,-0.23477129638195038,0.7196420431137085,1.1082684364398028
149005,0.7348846793174744,0.0063363476656377316,0.00014732642739545554,-0.07203057408332825,-0.23570431768894196,0.7194864749908447,1.1077656433163818
149015,0.7349351644515991,0.006101211532950401,-4.0734790673013777e-05,-0.07262002676725388,-0.23542268574237823,0.7192436456680298,1.1080835707614483
149025,0.7349482774734497,0.00608554482460022,-8.119688573060557e-05,-0.07331421226263046,-0.23464906215667725,0.7191429138183594,1.1083883456311179
149035,0.7349628210067749,0.006070069037377834,-0.00012239735224284232,-0.07405436784029007,-0.23378847539424896,0.71902996301651,1.1087024175182514
149045,0.7349791526794434,0.0060549573972821236,-0.00016409443924203515,-0.07164513319730759,-0.2355923354625702,0.7191993594169617,1.1074836032450321
149055,0.7349968552589417,0.006039852276444435,-0.00020590191707015038,-0.07239505648612976,-0.23473116755485535,0.7191023230552673,1.1078161876659955
149065,0.7350160479545593,0.006024258676916361,-0.00024764935369603336,-0.07116527110338211,-0.23522989451885223,0.7186355590820312,1.1067632777622571
149075,0.7350364327430725,0.006007345858961344,-0.00028943479992449284,-0.07198236137628555,-0.2343171387910843,0.7185107469558716,1.1071173800805125
149085,0.7350571155548096,0.0059886532835662365,-0.0003326598962303251,-0.07075878977775574,-0.2346128225326538,0.7180386781692505,1.1060224784360735
149095,0.7350776195526123,0.005968132521957159,-0.0003780324768740684,-0.07221706211566925,-0.23490183055400848,0.7183808088302612,1.1074101833192997
149105,0.7350982427597046,0.005945734679698944,-0.00042387808207422495,-0.07076843827962875,-0.23583917319774628,0.7187067270278931,1.1068106778001752
149115,0.7351207733154297,0.005922575946897268,-0.00046911221579648554,-0.0718877837061882,-0.23565079271793365,0.7185575366020203,1.1075287017790412
149125,0.735146701335907,0.0058991555124521255,-0.0005151656223461032,-0.07290618866682053,-0.23470808565616608,0.7184605598449707,1.1080466647915999
149135,0.7355434894561768,0.005486631765961647,3.578951509553008e-05,-0.07397811114788055,-0.23367184400558472,0.718356192111969,1.108379988616205
149146,0.7350858449935913,0.0058777593076229095,0.00029143260326236486,-0.07510443031787872,-0.23254422843456268,0.7182409167289734,1.1084695702655014
149159,0.7347841262817383,0.006094132084399462,-0.0001258969568880275,-0.07628675550222397,-0.23132631182670593,0.7181141376495361,1.1090866466494842
149165,0.7350894808769226,0.005860269069671631,0.0002175325498683378,-0.07752620428800583,-0.23001818358898163,0.7179760932922363,1.1095766074154871
149179,0.7351662516593933,0.005930708721280098,1.587556289450731e-05,-0.07882210612297058,-0.22861924767494202,0.7178265452384949,1.110334582975255
149185,0.7351662516593933,0.005930708721280098,1.587556289450731e-05,-0.07882210612297058,-0.22861924767494202,0.7178265452384949,1.110334582975255
149195,0.7348562479019165,0.006276019383221865,-0.0003209338174201548,-0.08157679438591003,-0.22554199397563934,0.7174952030181885,1.1115585950180955
149205,0.7348366975784302,0.006265738513320684,-0.0003601884818635881,-0.08303654193878174,-0.2238646149635315,0.7173175811767578,1.112177142622493
149215,0.7348189353942871,0.0062529537826776505,-0.00039977673441171646,-0.08455206453800201,-0.22209738194942474,0.7171326279640198,1.1128187018339137
149225,0.7348016500473022,0.006236928049474955,-0.0004390592803247273,-0.08612553775310516,-0.22024215757846832,0.716940701007843,1.1134845954784751
149235,0.7347840666770935,0.006218608934432268,-0.00047884241212159395,-0.08188217133283615,-0.2244032323360443,0.7125651240348816,1.1084051046719114
149245,0.734766960144043,0.006199466530233622,-0.0005196039564907551,-0.08315624296665192,-0.22282065451145172,0.7121858596801758,1.1087820615099988
149255,0.7347509264945984,0.006180016789585352,-0.0005598447751253843,-0.08219949156045914,-0.2245258390903473,0.7102675437927246,1.107207638085926
149265,0.7347353100776672,0.0061610424891114235,-0.0005988474003970623,-0.08342092484235764,-0.22301676869392395,0.7098165154457092,1.1075161766967212
149275,0.7347201108932495,0.006141991820186377,-0.000636725511867553,-0.07152219861745834,-0.2341107875108719,0.7195851802825928,1.1074600007258333
149285,0.7347063422203064,0.0061208526603877544,-0.0006748326122760773,-0.07152219861745834,-0.2341107875108719,0.7195851802825928,1.1074701743957176
